,elections_year,region,commission_name,voters_number,ballots_number_received,issued_ballots_number_early,issued_ballots_number_voting_day_incide,issued_ballots_number_voting_day_outside,ballots_number_extinguished,ballots_number_portable_boxes,ballots_number_stationary_boxes,ballots_number_invalid,ballots_number_valid,ballots_number_absentee_received,ballots_number_absentee_issued,voters_number_voted_on_absentee_ballots,number_absentee_ballots_unused,ballots_number_absentee_issued_to_tik_voters,ballots_number_lost,ballots_number_not_counted,glazyev_sergey_yurievich_number,glazyev_sergey_yurievich_percent,malyshkin_oleg_alexandrovich_number,malyshkin_oleg_alexandrovich_percent,mironov_sergey_mikhailovich_number,mironov_sergey_mikhailovich_percent,putin_vladimir_vladimirovich_number,putin_vladimir_vladimirovich_percent,khakamada_irina_mutsuovna_number,khakamada_irina_mutsuovna_percent,kharitonov_nikolai_mikhailovich_number,kharitonov_nikolai_mikhailovich_percent,against_all_number,against_all_percent,link
0,2004-03-14,Удмуртская Республика,Алнашская ,15958,14700,0,11418,961,2321,961,11413,127,12247,353,232,102,121,2,0,0,216,1.75,233,1.88,77,0.62,10065,81.34,162,1.31,1367,11.05,127,1.03,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=1001000882993&vrn=1001000882950&prver=0&pronetvd=null&region=18&sub_region=18&type=0&report_mode=null
1,2004-03-14,Удмуртская Республика,Балезинская,28163,27604,0,21234,1544,4826,1544,21233,196,22581,419,390,319,29,31,0,0,329,1.44,446,1.96,97,0.43,19319,84.82,281,1.23,1697,7.45,412,1.81,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=1001000882993&vrn=1001000882950&prver=0&pronetvd=null&region=18&sub_region=18&type=0&report_mode=null
2,2004-03-14,Удмуртская Республика,Вавожская,12191,11949,0,8824,643,2482,643,8824,96,9371,193,141,71,52,7,0,0,172,1.82,280,2.96,71,0.75,7931,83.78,151,1.6,645,6.81,121,1.28,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=1001000882993&vrn=1001000882950&prver=0&pronetvd=null&region=18&sub_region=18&type=0&report_mode=null
3,2004-03-14,Удмуртская Республика,Воткинская,16040,14766,0,11068,1009,2689,1009,11067,152,11924,695,626,259,69,5,0,0,382,3.16,365,3.02,82,0.68,9506,78.72,252,2.09,1061,8.79,276,2.29,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=1001000882993&vrn=1001000882950&prver=0&pronetvd=null&region=18&sub_region=18&type=0&report_mode=null
4,2004-03-14,Удмуртская Республика,Воткинская городская,78550,76827,0,44037,1045,31745,1045,44031,473,44603,1380,558,461,822,44,0,0,2768,6.14,1286,2.85,380,0.84,31638,70.19,1997,4.43,5094,11.3,1440,3.19,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=1001000882993&vrn=1001000882950&prver=0&pronetvd=null&region=18&sub_region=18&type=0&report_mode=null
5,2004-03-14,Удмуртская Республика,Глазовская,14661,14350,0,11288,1223,1839,1223,11288,123,12388,373,363,320,10,17,0,0,207,1.65,266,2.13,55,0.44,10622,84.9,153,1.22,875,6.99,210,1.68,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=1001000882993&vrn=1001000882950&prver=0&pronetvd=null&region=18&sub_region=18&type=0&report_mode=null
6,2004-03-14,Удмуртская Республика,Глазовская городская,79905,74785,0,52392,971,21422,971,52353,673,52651,1352,1082,490,270,90,0,0,1878,3.52,1190,2.23,438,0.82,41286,77.42,1830,3.43,4712,8.84,1317,2.47,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=1001000882993&vrn=1001000882950&prver=0&pronetvd=null&region=18&sub_region=18&type=0&report_mode=null
7,2004-03-14,Удмуртская Республика,Граховская,7837,7328,0,6189,688,451,688,6189,77,6800,148,88,39,60,2,0,0,128,1.86,175,2.54,53,0.77,5296,77.01,113,1.64,925,13.45,110,1.6,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=1001000882993&vrn=1001000882950&prver=0&pronetvd=null&region=18&sub_region=18&type=0&report_mode=null
8,2004-03-14,Удмуртская Республика,Дебесская,10202,10000,0,7603,662,1735,662,7602,72,8192,291,243,118,48,5,0,0,148,1.79,191,2.31,58,0.7,6816,82.48,127,1.54,753,9.11,99,1.2,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=1001000882993&vrn=1001000882950&prver=0&pronetvd=null&region=18&sub_region=18&type=0&report_mode=null
9,2004-03-14,Удмуртская Республика,Завьяловская,40544,37197,0,28581,1405,7211,1404,28573,548,29429,629,521,580,108,2,0,0,901,3.01,776,2.59,204,0.68,24082,80.33,770,2.57,2159,7.2,537,1.79,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=1001000882993&vrn=1001000882950&prver=0&pronetvd=null&region=18&sub_region=18&type=0&report_mode=null
