,elections_year,region,commission_name,voters_number,ballots_number_received,issued_ballots_number_early,issued_ballots_number_voting_day_incide,issued_ballots_number_voting_day_outside,ballots_number_extinguished,ballots_number_portable_boxes,ballots_number_stationary_boxes,ballots_number_invalid,ballots_number_valid,ballots_number_absentee_received,ballots_number_absentee_issued_at_polling_station,voters_number_voted_on_absentee_ballots,number_absentee_ballots_unused,ballots_number_absentee_issued_to_tik_voters,number_absentee_ballots_lost,ballots_number_lost,ballots_number_not_counted,zhirinovsky_vladimir_volfovich_number,zhirinovsky_vladimir_volfovich_percent,zyuganov_gennady_andreevich_number,zyuganov_gennady_andreevich_percent,mironov_sergey_mikhailovich_number,mironov_sergey_mikhailovich_percent,prokhorov_mikhail_dmitrievich_number,prokhorov_mikhail_dmitrievich_percent,putin_vladimir_vladimirovich_number,putin_vladimir_vladimirovich_percent,link
0,2012-03-04,Челябинская область,Агаповская,27910,26240,0,16407,2464,7369,2464,16329,254,18539,324,318,156,6,26,0,0,0,1027,5.46,2063,10.98,664,3.53,693,3.69,14092,74.99,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
1,2012-03-04,Челябинская область,Аргаяшская,34064,31190,0,19208,1386,10595,1386,19208,264,20330,1215,1105,568,110,35,0,1,0,601,2.92,4103,19.92,702,3.41,685,3.33,14239,69.14,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
2,2012-03-04,Челябинская область,Ашинская городская,53581,51900,0,28209,6329,17362,6329,28200,473,34056,358,245,156,113,103,0,0,0,1717,4.97,3938,11.4,1442,4.18,1518,4.4,25441,73.68,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
3,2012-03-04,Челябинская область,Брединская,22723,22250,0,12535,1075,8640,1075,12534,139,13470,376,350,115,26,14,0,0,0,628,4.61,2329,17.11,332,2.44,442,3.25,9739,71.56,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
4,2012-03-04,Челябинская область,Варненская,22407,21220,0,13537,1498,6185,1498,13536,178,14856,396,375,161,21,19,0,0,0,580,3.86,2387,15.88,463,3.08,523,3.48,10903,72.52,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
5,2012-03-04,Челябинская область,Верхнеуральская,29784,30050,0,18148,1546,10356,1546,18148,219,19475,782,782,357,0,18,0,0,0,883,4.48,2766,14.04,808,4.1,737,3.74,14281,72.51,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
6,2012-03-04,Челябинская область,Верхнеуфалейская городская,30774,29880,0,16659,1688,11533,1688,16659,214,18133,281,255,138,26,18,0,0,0,1064,5.8,2641,14.39,937,5.11,1344,7.33,12147,66.21,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
7,2012-03-04,Челябинская область,Еманжелинская городская,39441,33850,0,23150,1731,8967,1731,23058,342,24447,445,377,194,68,34,0,2,0,1659,6.69,3549,14.32,1295,5.22,1420,5.73,16524,66.66,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
8,2012-03-04,Челябинская область,Еткульская,21632,22000,0,13471,1265,7264,1265,13469,167,14567,884,883,321,1,15,0,0,0,811,5.5,1753,11.9,539,3.66,672,4.56,10792,73.25,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
9,2012-03-04,Челябинская область,Златоустовская городская,135512,130920,0,69899,5629,55390,5629,69883,1137,74375,1537,1484,1478,53,263,0,2,0,4629,6.13,14162,18.75,3705,4.91,6185,8.19,45694,60.51,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
10,2012-03-04,Челябинская область,Карабашская городская,11693,8750,0,5798,592,2360,592,5798,77,6313,175,97,80,78,10,0,0,0,392,6.13,994,15.56,390,6.1,307,4.8,4230,66.2,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
11,2012-03-04,Челябинская область,Локомотивная поселковая,4074,4000,0,2233,86,1681,86,2233,34,2285,41,41,21,0,9,0,0,0,181,7.81,326,14.06,106,4.57,150,6.47,1522,65.63,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
12,2012-03-04,Челябинская область,Карталинская,38070,37000,0,20607,1269,15124,1269,20607,270,21606,231,185,184,46,20,0,0,0,1332,6.09,3614,16.52,965,4.41,1021,4.67,14674,67.08,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
13,2012-03-04,Челябинская область,Каслинская,28301,22210,0,14568,1587,6055,1587,14565,194,15958,458,392,275,66,20,0,0,0,904,5.6,2512,15.55,808,5.0,759,4.7,10975,67.95,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
14,2012-03-04,Челябинская область,Снежинская городская,41780,38250,0,27826,922,9502,922,27818,363,28377,477,437,364,40,22,0,0,0,1050,3.65,3153,10.97,1367,4.76,2645,9.2,20162,70.15,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
15,2012-03-04,Челябинская область,Катав-Ивановская,27731,24870,0,15302,1568,8000,1569,15300,217,16652,359,344,235,15,39,0,0,0,1045,6.19,2503,14.84,1091,6.47,933,5.53,11080,65.68,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
16,2012-03-04,Челябинская область,Трехгорная городская,27900,25750,0,19158,1088,5504,1088,19139,227,20000,369,347,97,22,17,0,0,0,918,4.54,2026,10.02,1215,6.01,1495,7.39,14346,70.93,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
17,2012-03-04,Челябинская область,Кизильская,20664,20850,0,12937,2257,5656,2257,12933,133,15057,132,131,72,1,18,0,0,0,540,3.55,1546,10.18,531,3.5,442,2.91,11998,78.99,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
18,2012-03-04,Челябинская область,Копейская городская,107976,105200,0,58232,7573,39395,7573,58226,902,64897,1470,1366,854,104,131,0,0,0,4121,6.26,9279,14.1,3228,4.91,4501,6.84,43768,66.52,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
19,2012-03-04,Челябинская область,Коркинская городская,52110,50950,0,30166,2752,18032,2751,30164,410,32505,1153,1112,1105,41,47,0,0,0,1798,5.46,4883,14.84,1719,5.22,1981,6.02,22124,67.22,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
20,2012-03-04,Челябинская область,Красноармейская,33869,30740,0,17939,2025,10775,2025,17937,262,19700,904,835,380,69,20,0,1,0,1142,5.72,2783,13.94,705,3.53,987,4.94,14083,70.55,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
21,2012-03-04,Челябинская область,Кунашакская,24294,24630,0,13376,1425,9829,1425,13376,155,14646,619,577,285,42,27,0,0,0,364,2.46,2582,17.44,563,3.8,463,3.13,10674,72.12,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
22,2012-03-04,Челябинская область,Кусинская,22632,23800,0,12971,1557,9272,1557,12967,148,14376,570,570,165,0,23,0,0,0,736,5.07,2144,14.76,641,4.41,1015,6.99,9840,67.75,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
23,2012-03-04,Челябинская область,Кыштымская городская,32725,32200,0,18359,1349,12492,1349,18342,269,19422,615,514,339,101,35,0,0,0,1239,6.29,3124,15.87,1190,6.04,1274,6.47,12595,63.96,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
24,2012-03-04,Челябинская область,Озерская городская,78003,64150,0,50504,1640,12006,1641,50397,792,51246,922,826,484,96,75,0,0,0,2827,5.43,6084,11.69,2277,4.38,5003,9.61,35055,67.36,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
25,2012-03-04,Челябинская область,"Магнитогорск, Ленинская",82006,66096,0,51146,3357,11580,3356,51088,1110,53334,2586,1931,1734,655,77,0,13,0,3095,5.68,6844,12.57,2877,5.28,5260,9.66,35258,64.76,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
26,2012-03-04,Челябинская область,"Магнитогорск, Орджоникидзевская",158709,138900,0,97709,3957,37235,3956,97678,2199,99435,3923,3537,2919,386,141,0,0,1,6217,6.12,13207,12.99,5000,4.92,8188,8.06,66823,65.75,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
27,2012-03-04,Челябинская область,"Магнитогорск, Правобережная",88086,70791,0,55830,3159,11801,3159,55787,1165,57781,2429,2128,1878,301,51,0,1,0,3314,5.62,7703,13.07,3217,5.46,4703,7.98,38844,65.9,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
28,2012-03-04,Челябинская область,Миасская городская,139451,117720,0,74323,2394,41002,2395,74292,1233,75454,829,743,667,86,161,0,1,0,4248,5.54,12925,16.85,5283,6.89,6544,8.53,46454,60.58,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
29,2012-03-04,Челябинская область,Нагайбакская,17087,16450,0,10992,1414,4044,1414,10991,104,12301,786,786,221,0,14,0,0,0,562,4.53,1487,11.99,516,4.16,363,2.93,9373,75.56,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
30,2012-03-04,Челябинская область,Нязепетровская,16022,15900,0,8085,1072,6743,1072,8084,138,9018,192,177,83,15,7,0,0,0,459,5.01,1368,14.94,368,4.02,434,4.74,6389,69.78,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
31,2012-03-04,Челябинская область,Октябрьская,18749,17190,0,11231,1406,4553,1406,11231,142,12495,418,418,108,0,32,0,0,0,720,5.7,1716,13.58,585,4.63,456,3.61,9018,71.36,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
32,2012-03-04,Челябинская область,Пластовская,20431,17320,0,12205,1474,3641,1474,12198,199,13473,412,397,206,15,30,0,0,0,789,5.77,1884,13.78,542,3.96,600,4.39,9658,70.64,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
33,2012-03-04,Челябинская область,Саткинская,64766,52200,0,37564,3449,11185,3448,37485,516,40417,1774,1741,1413,33,60,0,2,0,2511,6.13,6819,16.66,2064,5.04,2762,6.75,26261,64.16,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
34,2012-03-04,Челябинская область,Сосновская,48146,44560,0,27174,2940,14444,2940,27154,413,29681,1424,1319,1410,105,36,0,2,0,1732,5.76,3581,11.9,1172,3.89,1957,6.5,21239,70.58,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
35,2012-03-04,Челябинская область,Троицкая городская,59139,58150,0,34032,3952,20166,3951,34028,505,37474,1046,1046,770,0,54,0,0,0,2165,5.7,5846,15.39,1807,4.76,1730,4.56,25926,68.26,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
36,2012-03-04,Челябинская область,Увельская,25462,25400,0,15969,2705,6726,2705,15968,177,18496,474,410,274,64,26,0,0,0,1044,5.59,2557,13.69,641,3.43,628,3.36,13626,72.97,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
37,2012-03-04,Челябинская область,Уйская,20584,20930,0,10826,808,9296,808,10823,156,11475,361,253,197,108,13,0,0,0,630,5.42,2468,21.22,464,3.99,486,4.18,7427,63.86,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
38,2012-03-04,Челябинская область,Усть-Катавская городская,21813,18600,0,11448,1115,6037,1115,11448,171,12392,229,184,113,45,65,0,0,0,784,6.24,2675,21.29,920,7.32,777,6.18,7236,57.6,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
39,2012-03-04,Челябинская область,Чебаркульская городская,36133,28350,42,21005,924,6379,966,21000,333,21633,441,413,522,28,56,0,0,0,1365,6.21,3387,15.42,1055,4.8,1303,5.93,14523,66.12,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
40,2012-03-04,Челябинская область,"Челябинск, Калининская",161353,141150,0,102437,5904,32802,5903,101692,1536,106059,4464,4039,5389,425,350,0,8,1,6049,5.62,15334,14.25,5774,5.37,12886,11.98,66016,61.36,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
41,2012-03-04,Челябинская область,"Челябинск, Курчатовская",150064,142600,0,87772,5415,49413,5415,87656,1272,91799,4035,3736,2266,298,266,1,0,0,5212,5.6,14199,15.26,5403,5.81,10909,11.72,56076,60.25,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
42,2012-03-04,Челябинская область,"Челябинск, Ленинская",145294,120200,0,87585,4760,27854,4760,87372,1229,90903,3735,3258,2895,477,320,0,1,0,5458,5.92,14081,15.28,4962,5.39,8352,9.07,58050,63.01,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
43,2012-03-04,Челябинская область,"Челябинск, Металлургическая",108529,100600,0,61458,2796,36346,2796,61437,1040,63193,2953,1568,1930,1385,116,0,0,0,4313,6.71,9852,15.34,3702,5.76,6091,9.48,39235,61.08,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
44,2012-03-04,Челябинская область,"Челябинск, Советская",108493,97550,0,67555,2552,27443,2547,67161,1011,68697,4590,3677,4773,913,203,0,0,0,3936,5.65,10519,15.09,3961,5.68,8413,12.07,41868,60.06,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
