,elections_year,region,commission_name,voters_number,ballots_number_received,issued_ballots_number_early,issued_ballots_number_voting_day_incide,issued_ballots_number_voting_day_outside,ballots_number_extinguished,ballots_number_portable_boxes,ballots_number_stationary_boxes,ballots_number_invalid,ballots_number_valid,ballots_number_lost,ballots_number_not_counted,baburin_sergey_nikolaevich_number,baburin_sergey_nikolaevich_percent,grudinin_pavel_nikolaevich_number,grudinin_pavel_nikolaevich_percent,zhirinovsky_vladimir_volfovich_number,zhirinovsky_vladimir_volfovich_percent,putin_vladimir_vladimirovich_number,putin_vladimir_vladimirovich_percent,sobchak_ksenia_anatolyevna_number,sobchak_ksenia_anatolyevna_percent,suraykin_maxim_alexandrovich_number,suraykin_maxim_alexandrovich_percent,titov_boris_yurievich_number,titov_boris_yurievich_percent,yavlinsky_grigory_alekseevich_number,yavlinsky_grigory_alekseevich_percent,link
0,2018-03-18,город Севастополь,Балаклавская,40790,33540,0,27816,1160,4563,1160,27813,268,28705,1,0,61,0.21,879,3.03,794,2.74,26428,91.22,335,1.16,48,0.17,73,0.25,87,0.3,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100084849211&vrn=100100084849062&prver=0&pronetvd=null&region=94&sub_region=94&type=0&report_mode=null
1,2018-03-18,город Севастополь,Гагаринская,115686,97629,0,78894,2090,16645,2089,78833,646,80276,0,0,194,0.24,3140,3.88,2176,2.69,72867,90.05,1071,1.32,204,0.25,331,0.41,293,0.36,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100084849211&vrn=100100084849062&prver=0&pronetvd=null&region=94&sub_region=94&type=0&report_mode=null
2,2018-03-18,город Севастополь,Ленинская,91688,78650,208,63876,2209,12354,2414,63871,570,65715,4,1,180,0.27,2495,3.76,1918,2.89,59603,89.92,817,1.23,183,0.28,273,0.41,246,0.37,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100084849211&vrn=100100084849062&prver=0&pronetvd=null&region=94&sub_region=94&type=0&report_mode=null
3,2018-03-18,город Севастополь,Нахимовская,90846,78471,425,63283,2215,12548,2616,63260,556,65320,0,0,141,0.21,2184,3.32,2100,3.19,59405,90.18,860,1.31,134,0.2,219,0.33,277,0.42,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100084849211&vrn=100100084849062&prver=0&pronetvd=null&region=94&sub_region=94&type=0&report_mode=null
4,2018-03-18,Калининградская область,Багратионовская,24281,23000,0,13430,784,8786,784,13429,187,14026,0,0,69,0.49,1160,8.16,923,6.49,11459,80.62,181,1.27,70,0.49,66,0.46,98,0.69,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100084849165&vrn=100100084849062&prver=0&pronetvd=null&region=39&sub_region=39&type=0&report_mode=null
5,2018-03-18,Калининградская область,Балтийская,27687,24657,0,17925,336,6396,336,17911,219,18028,0,0,108,0.59,1652,9.05,1423,7.8,13979,76.61,405,2.22,120,0.66,174,0.95,167,0.92,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100084849165&vrn=100100084849062&prver=0&pronetvd=null&region=39&sub_region=39&type=0&report_mode=null
6,2018-03-18,Калининградская область,Гвардейская,22501,22000,0,13619,993,7388,993,13612,243,14362,0,0,85,0.58,1350,9.24,879,6.02,11474,78.56,254,1.74,105,0.72,100,0.68,115,0.79,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100084849165&vrn=100100084849062&prver=0&pronetvd=null&region=39&sub_region=39&type=0&report_mode=null
7,2018-03-18,Калининградская область,Гурьевская,56360,52580,0,33446,1407,17727,1407,33430,398,34439,0,0,159,0.46,3240,9.3,1709,4.91,27815,79.84,692,1.99,168,0.48,332,0.95,324,0.93,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100084849165&vrn=100100084849062&prver=0&pronetvd=null&region=39&sub_region=39&type=0&report_mode=null
8,2018-03-18,Калининградская область,Гусевская,25549,24800,0,16905,1161,6734,1161,16904,224,17841,0,0,120,0.66,1917,10.61,1436,7.95,13655,75.59,349,1.93,139,0.77,118,0.65,107,0.59,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100084849165&vrn=100100084849062&prver=0&pronetvd=null&region=39&sub_region=39&type=0&report_mode=null
9,2018-03-18,Калининградская область,Зеленоградская,27851,25080,0,19741,1168,4171,1168,19630,254,20544,0,0,129,0.62,2114,10.16,1199,5.76,16110,77.46,491,2.36,116,0.56,194,0.93,191,0.92,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100084849165&vrn=100100084849062&prver=0&pronetvd=null&region=39&sub_region=39&type=0&report_mode=null
10,2018-03-18,Калининградская область,"Калининград, Ленинградская",154407,139150,0,88727,2035,48378,2035,88655,1004,89686,11,1,751,0.83,10176,11.22,4433,4.89,66883,73.75,3361,3.71,669,0.74,1157,1.28,2256,2.49,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100084849165&vrn=100100084849062&prver=0&pronetvd=null&region=39&sub_region=39&type=0&report_mode=null
