,vote_date,region,commission_name,voters_number,issued_ballots_number,turned_ballots_number,bad_ballots_number,for_votes_number,for_votes_percent,against_votes_number,against_votes_percent,link
0,"
						Дата голосования:  01.07.2020",Новгородская область,Батецкая,4659,3072,3072,33,2374,"77,28%",665,"21,65%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
1,"
						Дата голосования:  01.07.2020",Новгородская область,Боровичcкая,53450,23394,23388,239,15627,"66,82%",7522,"32,16%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
2,"
						Дата голосования:  01.07.2020",Новгородская область,Валдайская,20089,10678,10678,149,7749,"72,57%",2780,"26,03%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
3,"
						Дата голосования:  01.07.2020",Новгородская область,Волотовская,3503,2339,2339,13,1953,"83,5%",373,"15,95%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
4,"
						Дата голосования:  01.07.2020",Новгородская область,Демянская,10391,5101,5101,47,3953,"77,49%",1101,"21,58%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
5,"
						Дата голосования:  01.07.2020",Новгородская область,Крестецкая,10441,6803,6803,49,5308,"78,02%",1446,"21,26%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
6,"
						Дата голосования:  01.07.2020",Новгородская область,Любытинская,7197,4620,4620,37,3261,"70,58%",1322,"28,61%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
7,"
						Дата голосования:  01.07.2020",Новгородская область,Маловишерская,13320,5976,5976,64,4524,"75,7%",1388,"23,23%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
8,"
						Дата голосования:  01.07.2020",Новгородская область,Маревская,3313,2053,2052,42,1507,"73,44%",503,"24,51%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
9,"
						Дата голосования:  01.07.2020",Новгородская область,Мошенская,5052,3788,3785,52,3063,"80,92%",670,"17,7%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
