,elections_year,region,commission_name,voters_number,ballots_number_received,issued_ballots_number_early,issued_ballots_number_voting_day_incide,issued_ballots_number_voting_day_outside,ballots_number_extinguished,ballots_number_portable_boxes,ballots_number_stationary_boxes,ballots_number_invalid,ballots_number_valid,ballots_number_absentee_received,ballots_number_absentee_issued,voters_number_voted_on_absentee_ballots,number_absentee_ballots_unused,ballots_number_absentee_issued_to_tik_voters,ballots_number_lost,ballots_number_not_counted,number_absentee_ballots_lost,number_absentee_ballots_not_taken,bogdanov_andrey_vladimirovich_number,bogdanov_andrey_vladimirovich_percent,zhirinovsky_vladimir_volfovich_number,zhirinovsky_vladimir_volfovich_percent,zyuganov_gennady_andreevich_number,zyuganov_gennady_andreevich_percent,medvedev_dmitry_anatolyevich_number,medvedev_dmitry_anatolyevich_percent,link
0,"
02.03.2008
",Камчатский край,Алеутская,554,545,4,373,29,139,33,373,7,399,30,4,1,26,0,0,0,0,0,10,2.46,54,13.3,23,5.67,312,76.85,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
1,"
02.03.2008
",Камчатский край,Быстринская,2237,2000,256,1285,69,390,325,1285,19,1591,46,25,18,21,4,0,0,0,0,24,1.49,224,13.91,187,11.61,1156,71.8,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
2,"
02.03.2008
",Камчатский край,Вилючинская ,18419,17810,0,11976,218,5616,218,11971,157,12032,315,228,187,87,324,0,0,0,0,121,0.99,1600,13.13,1229,10.08,9082,74.51,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
3,"
02.03.2008
",Камчатский край,Елизовская,49988,44965,28,29039,1027,14871,1055,29020,422,29653,330,235,213,95,39,0,0,0,0,417,1.39,4010,13.33,4818,16.02,20408,67.86,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
4,"
02.03.2008
",Камчатский край,Мильковская,8147,8700,34,4617,245,3804,277,4575,54,4798,110,53,34,57,11,0,0,0,0,65,1.34,498,10.26,666,13.73,3569,73.56,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
5,"
02.03.2008
",Камчатский край,Петропавловск-Камчатская городская,140811,133186,260,71589,2298,59039,2557,71492,1017,73032,659,478,450,181,73,0,0,0,0,1307,1.77,9485,12.81,12472,16.84,49768,67.21,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
6,"
02.03.2008
",Камчатский край,Петропавловск-Камчатская городская (судовая),6131,6381,0,6077,0,304,0,6070,72,5998,0,0,0,0,0,0,0,0,0,122,2.01,1120,18.45,430,7.08,4326,71.27,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
7,"
02.03.2008
",Камчатский край,Соболевская,1918,2179,16,1207,77,879,93,1207,14,1286,60,30,9,30,5,0,0,0,0,22,1.69,171,13.15,188,14.46,905,69.62,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
8,"
02.03.2008
",Камчатский край,Усть-Большерецкая,6713,6700,3,3281,175,3241,178,3281,49,3410,145,36,23,109,7,0,0,0,0,45,1.3,529,15.29,498,14.4,2338,67.59,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
9,"
02.03.2008
",Камчатский край,Усть-Камчатская,10081,10214,281,7226,861,1846,1139,7195,116,8218,196,81,29,115,4,0,0,0,0,59,0.71,840,10.08,949,11.39,6370,76.43,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
